Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT3G22104.4	66.6193	89.106	0	34.5958	91.2635	59.3707
AT3G22110.1	2230	2189	2399.13	2257	2076	2256
AT3G22120.1	0	4.5297	3.00966	0	0	0
AT3G22120.2	12.3938	5.89296	5.94421	5.35966	6.89775	11.0562
AT3G22121.1	22577.2	22737.9	24836.8	25933.9	23421.8	31241.7
AT3G22121.2	2.09938	4.97832	19.3974	0	11.2637	3.89274
AT3G22121.3	1822.3	1638.71	3049.89	2809.75	2436.01	2858.38
AT3G22125.1	790.696	690.568	782.656	348.278	563.674	537.909
AT3G22125.2	412.075	328.202	588.925	303.417	212.884	280.86
AT3G22125.3	90.9592	26.3866	133.864	84.7579	54.1373	29.8091
AT3G22125.4	625.777	514.124	1388.92	804.162	559.024	477.66
AT3G22125.5	341.493	287.76	577.522	194.843	280.28	166.761
AT3G22142.1	0	1.95864	5.11181	3.54227	0	0
AT3G22150.1	842.414	968.88	818	482.082	505.525	550.215
AT3G22150.2	132.586	95.1196	0	79.9179	109.475	21.7851
AT3G22160.1	91	94	129	327	219	215
AT3G22170.1	575.623	743.143	433.62	799.238	695.406	883.406
AT3G22170.2	278.377	301.857	319.38	549.762	632.594	405.594
AT3G22180.1	165	176	137	219	181	190
AT3G22183.1	26.5585	56.1348	21.4422	62.5118	37.5777	58.1619
AT3G22190.1	0	30.9648	0	19.5683	14.7089	0
AT3G22190.2	180.739	198.856	164.718	194.179	194.851	203.251
AT3G22190.3	54.0076	67.5166	35.4072	32.0574	71.0433	36.1628
AT3G22190.4	121.695	119.528	166.432	241.683	184.819	233.424
AT3G22200.1	815.099	803.252	815.288	1867.43	1500.02	1489.62
AT3G22200.2	0	0	0	0	22.3362	20.9832
AT3G22210.1	804.844	958.953	605.779	473.383	707.082	707.384
AT3G22220.1	12.8779	0.00103724	5.63694	57.8577	60.4522	62.6106
AT3G22220.2	310.174	253.901	235.361	369.853	267.147	370.874
AT3G22220.3	12.9484	109.034	18.9163	18.6819	54.8762	0
AT3G22220.4	0	2.10464e-8	53.5434	37.6074	0	1.19179e-6
AT3G22230.1	4150.09	4708.6	4501.81	2177.43	2252.97	2260.25
AT3G22231.1	637.286	1138.27	793.245	8074.83	10100.6	9986.8
AT3G22235.1	95.5536	147.033	84.743	333.865	294.453	377.061
AT3G22235.2	1101.85	1562.11	1401.88	9953.99	12678.5	12132.1
AT3G22240.1	7.24161	20.5652	14.1953	24.6625	5.96708	18.8953
AT3G22250.1	1	0	1	0	0	0
AT3G22260.1	29.1267	58.0035	1.15732	98.4818	56.4305	82.5316
AT3G22260.2	28.4811	15.6811	43.4494	58.789	37.1135	6.49137
AT3G22260.3	0	0	0	0	24.1827	25.5804
AT3G22260.4	0	0	0	0	0	0
AT3G22260.5	11.3922	0	0	26.3724	0	12.5755
AT3G22260.6	0	4.31535	12.3933	20.3567	52.2733	26.8211
AT3G22270.1	976	928	1024	1087	969	1103
AT3G22275.1	2	7	3	46	11	6
AT3G22290.1	402.007	516.458	468.223	645.97	604.606	677.663
AT3G22290.2	109.993	19.5422	58.7775	102.03	50.3943	30.3367
